model,n_companies,AnI_min,AnI_median,AnI_max,AnI_mean
gemini-2.5-flash,9,0.09790732436472338,0.25568181818181834,0.6292244337680164,0.36141818982274576
claude-haiku-4-5-20251001,9,-0.025687845988597677,0.29114619080301996,0.5165289256198348,0.27149419896331345
gpt-5-mini-2025-08-07,9,0.05826347305389234,0.06849170437405737,0.2259836404197307,0.09277973013852957
